"quantidade","media_qtd_transacoes","tipo_cartao","sexo","escolaridade"
"462","41.27489177489178","blue","M","mestrado"
"330","40.4969696969697","blue","M","ensino medio"
"316","41.55379746835443","blue","F","mestrado"
"203","40.86206896551724","blue","M","sem educacao formal"
"190","42.01052631578948","blue","F","ensino medio"
"158","41.74050632911393","blue","M","graduacao"
"148","41.682432432432435","blue","F","sem educacao formal"
"133","42.7593984962406","blue","M","doutorado"
"92","41.68478260869565","blue","F","doutorado"
"91","45.79120879120879","blue","F","graduacao"
"22","46.31818181818182","silver","M","mestrado"
"14","41.357142857142854","silver","M","ensino medio"
"9","42.22222222222222","silver","F","sem educacao formal"
"7","46.285714285714285","silver","M","sem educacao formal"
"7","34.857142857142854","silver","M","graduacao"
"6","54.5","silver","F","mestrado"
"5","38.4","silver","F","doutorado"
"5","41.0","silver","F","ensino medio"
"4","44.0","gold","M","ensino medio"
"3","51.333333333333336","silver","M","doutorado"
"3","29.666666666666668","silver","F","graduacao"
"2","25.0","gold","F","ensino medio"
"2","67.5","gold","M","mestrado"
"1","86.0","gold","M","doutorado"
"1","32.0","gold","M","graduacao"
"1","29.0","platinum","M","mestrado"
"1","65.0","gold","F","mestrado"
"1","40.0","platinum","F","doutorado"
"1","72.0","gold","F","graduacao"
