"quantidade","tipo_cartao","salario_anual","media_limite_credito","media_qtd_transacoes","media_valor_transacoes"
"677","blue","menos que $40K","3797.09","43.0","1857.24"
"449","blue","$40K - $60K","4832.76","42.0","1841.51"
"431","blue","$60K - $80K","8061.38","41.0","1814.45"
"461","blue","$80K - $120K","13736.87","40.0","1748.57"
"212","blue","$120K +","17105.39","40.0","1707.02"
"20","silver","menos que $40K","12007.81","45.0","2120.2"
"17","silver","$40K - $60K","17870.18","43.0","1776.94"
"15","silver","$60K - $80K","30351.36","39.0","1610.78"
"22","silver","$80K - $120K","34516.4","45.0","1910.17"
"9","silver","$120K +","32341.1","41.0","1611.85"
"4","gold","menos que $40K","15735.89","38.0","1502.6"
"1","gold","$40K - $60K","23981.32","34.0","1421.27"
"5","gold","$60K - $80K","34516.77","58.0","2802.68"
"4","gold","$80K - $120K","34516.84","44.0","1823.24"
"1","gold","$120K +","34516.72","31.0","1330.87"
"1","platinum","$80K - $120K","34516.25","29.0","1156.61"
